吧,ba,"modal particle indicating polite suggestion;...right?;...OK?",吧,ba6,baa6,bah,2
白,bái,"white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; surname Bai",白,baak6,baak6,baahk,2
百,bǎi,"hundred; numerous; all kinds of; surname Bai",百,baak3,baak3,baak,2
帮助,bāng zhù,"assistance; aid; to help; to assist",幫助,bong1 jo6,bong1 zo6,bōng joh,2
报纸,bào zhǐ,"newspaper; newsprint; CL:份[fen4] ,期[qi1] ,张[zhang1]",報紙,bou3 ji2,bou3 zi2,bou jí,2
比,bǐ,"particle used for comparison and '-er than'; to compare; to contrast; to gesture (with hands); ratio",比,bei2,bei2,béi,2
别,bié,"do not; must not; to pin; to leave; to depart; to separate; to distinguish; to classify; other; another",別,bit6,bit6,biht,2
宾馆,bīn guǎn,"guesthouse; CL:个,家[jia1]",賓館,ban1 gun2,ban1 gun2,bān gún,2
长,cháng,"long; length",長,cheung4/jeung2,coeng4/zoeng2,chèuhng/jéung,2
唱歌,chàng gē,"to sing a song",唱歌,cheung3 go1,coeng3 go1,cheung gō,2
出,chū,"to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc",出,cheut1,ceot1,chēut,2
穿,chuān,"to wear; to put on; to dress; to bore through; pierce; perforate; penetrate; pass through; to thread",穿,chyun1,cyun1,chyūn,2
次,cì,"next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time",次,chi3,ci3,chi,2
从,cóng,"from; via; passing through; through",從,chung4,cung4,chùhng,2
错,cuò,"mistake; error; blunder; fault; cross; uneven; wrong; CL:个",錯,cho3,co3,cho,2
打篮球,dǎ lán qiú,"play basketball",打籃球,da2 laam4 kau4,daa2 laam4 kau4,dá làahm kàuh,2
大家,dà jiā,"everyone",大家,daai6 ga1,daai6 gaa1,daaih gā,2
到,dào,"to (a place); until (a time); up to; to go; to arrive",到,dou2/dou3,dou2/dou3,dóu/dou,2
得,de,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc;",得,dak1,dak1,dāk,2
等,děng,"to wait for; to await; class (grade); et cetera; and so on; et al. (and other authors); after; as soon as; once;",等,dang2,dang2,dáng,2
弟弟,dì di,"younger brother; CL:个,位[wei4]",弟弟,dai6 dai6,dai6 dai6,daih daih,2
第一,dì yī,"first; number one",第一,dai6 yat1,dai6 jat1,daih yāt,2
懂,dǒng,"to understand; to know",懂,dung2,dung2,dúng,2
对,duì,"towards; at; for",對,deui3,deoi3,deui,2
对,duì,"right; correct",對,deui3,deoi3,deui,2
房间,fáng jiān,"room; CL:间[jian1]",房間,fong4 gaan1,fong4 gaan1,fòhng gāan,2
非常,fēi cháng,"extraordinary; unusual; extreme; very; exceptional",非常,fei1 seung4,fei1 soeng4,fēi sèuhng,2
服务员,fú wù yuán,"waiter; waitress; attendant; customer service personnel; CL:个",服務員,fuk6 mou6 yun4,fuk6 mou6 jyun4,fuhk mouh yùhn,2
高,gāo,"high; tall; above average; loud; your (honorific); surname Gao",高,gou1,gou1,gōu,2
告诉,gào su,"to tell; to inform; to let know",告訴,gou3 sou3,gou3 sou3,gou sou,2
哥哥,gē ge,"older brother; CL:个,位[wei4]",哥哥,go4 go1,go4 go1,gòh gō,2
给,gěi,"to (someone); for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle)",給,kap1,kap1,kāp,2
公共汽车,gōng gòng qì chē,"bus; CL:辆[liang4] ,班[ban1]",公共汽車,gung1 gung6 hei3 che1,gung1 gung6 hei3 ce1,gūng guhng hei chē,2
公司,gōng sī,"(business) company; company; firm; corporation; incorporated; CL:家[jia1]",公司,gung1 si1,gung1 si1,gūng sī,2
贵,guì,"expensive; noble; your (name); precious",貴,gwai3,gwai3,gwai,2
过,guo,"(used after a verb) to indicate the completion of an action",過,gwo3,gwo3,gwo,2
孩子,hái zi,"child",孩子,haai4 ji2,haai4 zi2,hàaih jí,2
还,hái,"still; yet; even more; still more; also; too; as well",還,waan4,waan4,wàahn,2
好吃,hǎo chī,"tasty; delicious",好吃,hou2 hek3,hou2 hek3,hóu hek,2
黑,hēi,"black; dark; abbr. for Heilongjiang 黑龙江 province in northeast China",黑,haak1/hak1,haak1/hak1,hāak/hāk,2
红,hóng,"red; bonus; popular; revolutionary",紅,hung4,hung4,hùhng,2
火车站,huǒ chē zhàn,"train station",火車站,fo2 che1 jaam6,fo2 ce1 zaam6,fó chē jaahm,2
机场,jī chǎng,"airport; airfield; CL:家[jia1] ,处[chu4]",機場,gei1 cheung4,gei1 coeng4,gēi chèuhng,2
鸡蛋,jī dàn,"(chicken) egg; hen's egg; CL:个,打[da2]",雞蛋,gai1 daan2,gai1 daan2,gāi dáan,2
件,jiàn,"item; component; classifier for events, things, clothes etc",件,gin2/gin6,gin2/gin6,gín/gihn,2
教室,jiào shì,"classroom; CL:间[jian1]",教室,gaau3 sat1,gaau3 sat1,gaau sāt,2
姐姐,jiě jie,"older sister; CL:个",姐姐,je4 je1,ze4 ze1,jèh jē,2
介绍,jiè shào,"to present; to introduce; to recommend; to suggest; to let know; to brief",介紹,gaai3 siu6,gaai3 siu6,gaai siuh,2
近,jìn,"near; close to; approximately",近,gan6/kan5,gan6/kan5,gahn/káhn,2
进,jìn,"to enter; to advance; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal",進,jeun3,zeon3,jeun,2
就,jiù,"just (emphasis); at once; right away; only; as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning",就,jau6,zau6,jauh,2
觉得,jué de,"to think; to feel",覺得,gok3 dak1,gok3 dak1,gok dāk,2
咖啡,kā fēi,"coffee; CL:杯[bei1]",咖啡,ga3 fe1,gaa3 fe1,ga fē,2
开始,kāi shǐ,"to begin; beginning; to start; initial; CL:个",開始,hoi1 chi2,hoi1 ci2,hōi chí,2
考试,kǎo shì,"exam; CL:次[ci4]",考試,haau2 si3,haau2 si3,háau si,2
可能,kě néng,"might (happen); possible; probable; possibility; probability; maybe; perhaps; CL:个",可能,ho2 nang4,ho2 nang4,hó nàhng,2
可以,kě yǐ,"can; may; possible; able to",可以,ho2 yi5,ho2 ji5,hó yíh,2
课,kè,"subject; course; class; lesson; CL:堂[tang2] ,节[jie2] ,门[men2]",課,fo3,fo3,fo,2
快,kuài,"rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant",快,faai3,faai3,faai,2
快乐,kuài lè,"happy; merry",快樂,faai3 lok6,faai3 lok6,faai lohk,2
累,lèi,"tired; weary; to strain; to wear out; to work hard",累,leui6,leoi6,leuih,2
离,lí,"to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the eight trigrams of the Book of Changes representing fire (old)",離,lei4,lei4,lèih,2
两,liǎng,"two (quantities); both; ounce; some; a few; tael; weight equal to 50 grams",兩,leung5,loeng5,léuhng,2
零,líng,"zero; nought; zero sign; fractional; fragmentary; odd (of numbers); (placed between two numbers to indicate a smaller quantity followed by a larger one); fraction; (in mathematics) remainder (after division)",零,ling4,ling4,lìhng,2
路,lù,"road; path; way; CL:条[tiao2]",路,lou6,lou6,louh,2
旅游,lǚ yóu,"trip; journey; tourism; travel; tour",旅遊,leui5 yau4,leoi5 jau4,léuih yàuh,2
卖,mài,"to sell; to betray; to spare no effort; to show off or flaunt",賣,maai6,maai6,maaih,2
慢,màn,"slow",慢,maan6,maan6,maahn,2
忙,máng,"busy; hurriedly",忙,mong4,mong4,mòhng,2
每,měi,"each; every",每,mui5,mui5,múih,2
妹妹,mèi mei,"younger sister; fig. younger woman (esp. girl friend or rival); CL:个",妹妹,mui4 mui2,mui4 mui2,mùih múi,2
门,mén,"gate; doo; gateway; doorway; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technologyr; CL:个, 扇[shan4]",門,mun4,mun4,mùhn,2
面条,miàn tiáo,"noodles",面條,min6 tiu4,min6 tiu4,mihn tìuh,2
男,nán,"male; Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; CL:個|个[ge4];",男,naam4,naam4,nàahm,2
您,nín,"you (polite); as opposed to informal you 你[ni3])",您,nei5,nei5,néih,2
牛奶,niú nǎi,"cow's milk; CL:瓶[ping2] ,杯[bei1]",牛奶,ngau4 naai5,ngau4 naai5,ngàuh náaih,2
女,nǚ,"female; woman; daughter;",女,neui5,neoi5,néuih,2
旁边,páng biān,"lateral; side; to the side; beside",旁邊,pong4 bin1,pong4 bin1,pòhng bīn,2
跑步,pǎo bù,"to walk quickly; to march; to run",跑步,paau2 bou6,paau2 bou6,páau bouh,2
便宜,pián yi,"cheap; inexpensive; small advantages; to let sb off lightly",便宜,pin4 yi4,pin4 ji4,pìhn yìh,2
票,piào,"ticket; ballot; bank note; person held for ransom; amateur performance of Chinese opera; classifier for shipments and business transactions (topolect); CL:张[Zhang1]",票,piu3,piu3,piu,2
妻子,qī zi,"wife; CL:个",妻子,chai1 ji2,cai1 zi2,chāi jí,2
起床,qǐ chuáng,"to get up",起床,hei2 chong4,hei2 cong4,héi chòhng,2
千,qiān,"thousand",千,chin1,cin1,chīn,2
铅笔,qiān bǐ,"(lead) pencil; CL:支[zhi1] ,枝[zhi1] ,杆[gan3]",鉛筆,yun4 bat1,jyun4 bat1,yùhn bāt,2
晴,qíng,"clear; fine (weather)",晴,ching4,cing4,chìhng,2
去年,qù nián,"last year",去年,heui3 nin4,heoi3 nin4,heui nìhn,2
让,ràng,"to permit; to let sb do sth; to have sb do sthto yield",讓,yeung6,joeng6,yeuhng,2
日,rì,"day; day of the month; date; sun; abbr. for 日本 Japan",日,yat6,jat6,yaht,2
上班,shàng bān,"to go to work; to be on duty; to start work; to go to the office",上班,seung5 baan1,soeng5 baan1,séuhng bāan,2
身体,shēn tǐ,"(human) body; health; CL:个",身體,san1 tai2,san1 tai2,sān tái,2
生病,shēng bìng,"to fall ill; to sicken",生病,sang1 beng6,sang1 beng6,sāng behng,2
生日,shēng rì,"birthday; CL:个",生日,saang1 yat6,saang1 jat6,sāang yaht,2
时间,shí jiān,"time; period; CL:段[duan4]",時間,si4 gaan3,si4 gaan3,sìh gaan,2
事情,shì qing,"affair; matter; thing; business",事情,si6 ching4,si6 cing4,sih chìhng,2
手表,shǒu biǎo,"wrist watch; CL:块[kuai4] ,只[zhi1] ,个",手表,sau2 biu1,sau2 biu1,sáu bīu,2
手机,shǒu jī,"cell phone; cellular phone; mobile phone; CL:部[bu4]",手機,sau2 gei1,sau2 gei1,sáu gēi,2
说话,shuō huà,"to speak; to say; to talk; to gossip; to tell stories; talk; word",說話,syut3 wa6,syut3 waa6,syut wah,2
送,sòng,"to deliver; to carry; to give (as a present); to present (with); to see off; to send",送,sung3,sung3,sung,2
虽然…但是…,suī rán …dàn shì …,"although…still…; even if…nevertheless...",雖然…但是…,seui1 yin4… daan6 si6…,seoi1 jin4… daan6 si6…,sēui yìhn… daahn sih…,2
它,tā,"it (inanimate thing or animal)",它,ta1,taa1,tā,2
踢足球,tī zú qiú,"play soccer (football)",踢足球,tek3 juk1 kau4,tek3 zuk1 kau4,tek jūk kàuh,2
题,tí,"topic; problem for discussion; exam question; subject; to inscribe; to mention; surname Ti; CL:个,道[dao4]",題,tai4,tai4,tàih,2
跳舞,tiào wǔ,"to dance",跳舞,tiu3 mou5,tiu3 mou5,tiu móuh,2
外,wài,"outside; in addition; foreign; external",外,ngoi6,ngoi6,ngoih,2
完,wán,"to finish; to be over; whole; complete; entire",完,yun4,jyun4,yùhn,2
玩,wán,"to play; toy; sth used for amusement; curio or antique (Taiwan pr. wan4); to have fun; to trifle with; to keep sth for entertainment",玩,waan2/wun6,waan2/wun6,wáan/wuhn,2
晚上,wǎn shang,"in the evening; CL:个",晚上,maan5 seung6,maan5 soeng6,máahn seuhng,2
往,wǎng,"to go (in a direction); to; towards; (of a train) bound for; past; previous",往,wong5,wong5,wóhng,2
为什么,wèi shén me,"for what reason?; why?",為什麽,wai6 sam6 mo1,wai6 sam6 mo1,waih sahm mō,2
问,wèn,"to ask",問,man6,man6,mahn,2
问题,wèn tí,"question; problem; issue; topic; CL:个",問題,man6 tai4,man6 tai4,mahn tàih,2
希望,xī wàng,"to wish for; to desire; hope CL:个",希望,hei1 mong6,hei1 mong6,hēi mohng,2
西瓜,xī guā,"watermelon; CL:条[tiao2]",西瓜,sai1 gwa1,sai1 gwaa1,sāi gwā,2
洗,xǐ,"to wash; to bathe",洗,sai2,sai2,sái,2
小时,xiǎo shí,"hour; CL:个",小時,siu2 si4,siu2 si4,síu sìh,2
笑,xiào,"laugh; smile; CL:个",笑,siu3,siu3,siu,2
新,xīn,"new; newly; meso- (chemistry)",新,san1,san1,sān,2
姓,xìng,"family name; surname; name; CL:个",姓,sing3,sing3,sing,2
休息,xiū xi,"rest; to rest",休息,yau1 sik1,jau1 sik1,yāu sīk,2
雪,xuě,"snow; snowfall; to have the appearance of snow; to wipe away, off or out; to clean CL:场[chang2]",雪,syut3,syut3,syut,2
颜色,yán sè,"color; CL:个",顔色,ngaan4 sik1,ngaan4 sik1,ngàahn sīk,2
眼睛,yǎn jing,"eye; CL:只[zhi1] ,双[shuang1]",眼睛,ngaan5 jing1,ngaan5 zing1,ngáahn jīng,2
羊肉,yáng ròu,"mutton",羊肉,yeung4 yuk6,joeng4 juk6,yèuhng yuhk,2
药,yào,"medicine; drug; cure; CL:种[zhong3] ,服[fu4]",藥,yeuk6,joek6,yeuhk,2
要,yào,"to want; will; going to (as future auxiliary); important; vital; may; must",要,yiu3,jiu3,yiu,2
也,yě,"also; too; (in classical Chinese) final particle serving as copula",也,ya5,jaa5,yáh,2
一下,yī xià,"(used after a verb) give it a go; to do (sth for a bit to give it a try); one time; once; in a while; all of a sudden; all at once;",一下,yat1 ha5,jat1 haa5,yāt háh,2
已经,yǐ jīng,"already",已經,yi5 ging1,ji5 ging1,yíh gīng,2
一起,yī qǐ,"together; in the same place; with; altogether (in total)",一起,yat1 hei2,jat1 hei2,yāt héi,2
意思,yì si,"idea; opinion; meaning; wish; desire; CL:个",意思,yi3 si1,ji3 si1,yi sī,2
因为…所以…,yīn wèi …suǒ yǐ …,"because… thus…; on account of…then…",因為…所以…,yan1 wai6… so2 yi5…,jan1 wai6… so2 ji5…,yān waih… só yíh…,2
阴,yīn,"overcast (weather); cloudy; shady; Yin (the negative principle of Yin and Yang); negative (electric.); feminine; moon; implicit; hidden; genitalia",陰,yam1,jam1,yām,2
游泳,yóu yǒng,"swim",遊泳,yau4 wing6,jau4 wing6,yàuh wihng,2
